iter	Passed	Remaining
273	3392	8988
274	3403	8972
275	3414	8956
276	3426	8943
277	3438	8929
278	3450	8915
279	3461	8900
280	3472	8885
281	3484	8871
282	3495	8857
283	3506	8840
284	3518	8826
285	3529	8811
286	3540	8795
287	3551	8779
288	3563	8766
289	3576	8756
290	3589	8746
291	3601	8733
292	3614	8721
293	3626	8708
294	3638	8694
295	3649	8680
296	3660	8665
297	3672	8651
298	3684	8637
299	3695	8623
300	3707	8609
301	3718	8594
302	3730	8580
303	3741	8566
304	3752	8551
305	3764	8537
306	3775	8523
307	3787	8508
308	3798	8494
309	3809	8479
310	3821	8465
311	3832	8452
312	3844	8437
313	3855	8422
314	3866	8408
315	3878	8395
316	3889	8380
317	3901	8367
318	3912	8353
319	3923	8338
320	3935	8324
321	3946	8310
322	3958	8296
323	3969	8281
324	3981	8269
325	3993	8255
326	4005	8243
327	4016	8229
328	4027	8215
329	4039	8201
330	4051	8188
331	4062	8174
332	4074	8160
333	4085	8146
334	4097	8133
335	4108	8118
336	4119	8104
337	4130	8090
338	4142	8077
339	4154	8063
340	4166	8052
341	4179	8040
342	4190	8027
343	4202	8014
344	4214	8001
345	4226	7988
346	4237	7974
347	4249	7961
348	4261	7948
349	4272	7934
350	4283	7920
351	4295	7908
352	4307	7894
353	4318	7881
354	4330	7868
355	4342	7854
356	4353	7840
357	4365	7828
358	4376	7814
359	4388	7801
360	4400	7788
361	4411	7775
362	4424	7763
363	4435	7749
364	4447	7736
365	4458	7723
366	4469	7709
367	4481	7696
368	4492	7682
369	4504	7669
370	4519	7662
371	4531	7650
372	4543	7636
373	4554	7623
374	4566	7610
375	4578	7597
376	4589	7584
377	4601	7572
378	4613	7559
379	4625	7546
380	4637	7533
381	4648	7520
382	4661	7509
383	4674	7498
384	4685	7484
385	4696	7471
386	4708	7458
387	4721	7446
388	4732	7433
389	4744	7420
390	4756	7407
391	4767	7393
392	4780	7382
393	4791	7369
394	4803	7356
395	4814	7343
396	4826	7330
397	4837	7317
398	4848	7303
399	4860	7290
400	4872	7278
401	4883	7264
402	4895	7252
403	4907	7239
404	4920	7228
405	4934	7218
406	4945	7206
407	4957	7192
408	4968	7179
409	4980	7166
410	4992	7154
411	5003	7141
412	5015	7128
413	5026	7114
414	5037	7101
415	5049	7089
416	5061	7076
417	5073	7063
418	5084	7050
419	5096	7038
420	5108	7025
421	5119	7012
422	5131	6999
423	5143	6987
424	5154	6974
425	5168	6963
426	5179	6950
427	5191	6938
428	5203	6925
429	5214	6911
430	5225	6898
431	5237	6886
432	5249	6873
433	5260	6861
434	5272	6847
435	5283	6834
436	5294	6821
437	5305	6807
438	5317	6795
439	5329	6783
440	5341	6770
441	5352	6757
442	5364	6745
443	5376	6732
444	5387	6719
445	5398	6706
446	5410	6693
447	5422	6681
448	5433	6668
449	5445	6655
450	5456	6642
451	5468	6630
452	5480	6617
453	5491	6604
454	5503	6591
455	5514	6578
456	5526	6566
457	5538	6554
458	5549	6541
459	5562	6529
460	5575	6518
461	5586	6505
462	5597	6492
463	5609	6479
464	5620	6467
465	5632	6454
466	5644	6442
467	5656	6429
468	5668	6418
469	5680	6405
470	5690	6391
471	5702	6379
472	5714	6367
473	5725	6353
474	5737	6341
475	5748	6328
476	5760	6316
477	5771	6303
478	5783	6290
479	5795	6278
480	5806	6265
481	5817	6252
482	5829	6239
483	5841	6227
484	5852	6214
485	5863	6201
486	5875	6188
487	5886	6176
488	5898	6163
489	5910	6152
490	5922	6139
491	5933	6126
492	5944	6113
493	5956	6100
494	5967	6088
495	5979	6076
496	5991	6063
497	6003	6051
498	6014	6038
499	6025	6025
500	6037	6013
501	6049	6001
502	6060	5988
503	6072	5976
504	6083	5963
505	6095	5951
506	6107	5938
507	6119	5926
508	6131	5914
509	6144	5903
510	6157	5892
511	6168	5878
512	6179	5866
513	6195	5858
514	6208	5846
515	6220	5834
516	6231	5822
517	6244	5810
518	6255	5797
519	6266	5784
520	6278	5771
521	6290	5760
522	6301	5747
523	6313	5734
524	6324	5722
525	6336	5709
526	6347	5697
527	6359	5685
528	6371	5672
529	6383	5661
530	6395	5648
531	6406	5636
532	6418	5623
533	6429	5610
534	6439	5597
535	6451	5585
536	6463	5573
537	6475	5560
538	6486	5547
539	6499	5536
540	6513	5526
541	6525	5513
542	6536	5501
543	6548	5489
544	6558	5475
545	6570	5463
546	6581	5450
547	6592	5437
548	6604	5425
549	6615	5412
550	6626	5399
551	6637	5387
552	6649	5375
553	6660	5362
554	6671	5349
555	6682	5336
556	6694	5324
557	6705	5311
558	6716	5298
559	6728	5286
560	6739	5274
561	6753	5263
562	6765	5251
563	6777	5239
564	6789	5226
565	6800	5214
566	6811	5202
567	6822	5188
568	6833	5176
569	6845	5164
570	6857	5151
571	6868	5139
572	6879	5126
573	6890	5113
574	6901	5100
575	6912	5088
576	6923	5075
577	6935	5063
578	6946	5050
579	6958	5038
580	6969	5026
581	6981	5014
582	6992	5001
583	7004	4989
584	7017	4978
585	7031	4967
586	7042	4954
587	7053	4942
588	7065	4930
589	7077	4918
590	7089	4906
591	7101	4894
592	7112	4881
593	7124	4869
594	7137	4858
595	7149	4846
596	7160	4833
597	7172	4821
598	7183	4809
599	7195	4797
600	7206	4784
601	7217	4771
602	7228	4759
603	7240	4747
604	7252	4734
605	7262	4721
606	7273	4709
607	7285	4696
608	7296	4684
609	7308	4672
610	7320	4660
611	7331	4648
612	7343	4635
613	7354	4623
614	7365	4611
615	7377	4598
616	7388	4586
617	7400	4574
618	7412	4562
619	7424	4550
620	7436	4538
621	7447	4526
622	7459	4513
623	7470	4501
624	7482	4489
625	7493	4476
626	7505	4464
627	7517	4452
628	7528	4440
629	7540	4428
630	7552	4416
631	7563	4404
632	7575	4392
633	7586	4379
634	7597	4367
635	7610	4355
636	7622	4343
637	7633	4331
638	7644	4318
639	7656	4306
640	7668	4295
641	7680	4282
642	7692	4270
643	7704	4259
644	7716	4247
645	7728	4234
646	7740	4223
647	7752	4211
648	7764	4199
649	7776	4187
650	7787	4175
651	7798	4162
652	7810	4150
653	7822	4138
654	7833	4126
655	7845	4114
656	7856	4101
657	7868	4089
658	7879	4077
659	7890	4064
660	7902	4053
661	7915	4041
662	7926	4029
663	7938	4017
664	7949	4004
665	7962	3992
666	7973	3980
667	7984	3968
668	7996	3956
669	8007	3944
670	8019	3931
671	8031	3920
672	8043	3908
673	8055	3896
674	8067	3884
675	8079	3872
676	8091	3860
677	8102	3848
678	8114	3836
679	8126	3824
680	8138	3812
681	8149	3800
682	8162	3788
683	8173	3775
684	8184	3763
685	8196	3751
686	8208	3739
687	8219	3727
688	8231	3715
689	8243	3703
690	8254	3691
691	8265	3679
692	8277	3666
693	8288	3654
694	8300	3642
695	8312	3630
696	8325	3619
697	8337	3607
698	8348	3594
699	8359	3582
700	8369	3570
701	8381	3558
702	8393	3545
703	8404	3533
704	8416	3521
705	8426	3509
706	8439	3497
707	8450	3485
708	8462	3473
709	8473	3461
710	8486	3449
711	8498	3437
712	8511	3425
713	8522	3413
714	8535	3402
715	8546	3390
716	8558	3378
717	8571	3366
718	8582	3354
719	8593	3341
720	8604	3329
721	8616	3317
722	8627	3305
723	8638	3293
724	8650	3281
725	8662	3269
726	8674	3257
727	8686	3245
728	8698	3233
729	8710	3221
730	8722	3209
731	8735	3198
732	8747	3186
733	8759	3174
734	8771	3162
735	8782	3150
736	8793	3137
737	8805	3126
738	8818	3114
739	8829	3102
740	8841	3090
741	8852	3078
742	8865	3066
743	8876	3054
744	8889	3042
745	8901	3030
746	8913	3019
747	8925	3007
748	8938	2995
749	8950	2983
750	8962	2971
751	8974	2959
752	8986	2947
753	8997	2935
754	9009	2923
755	9021	2911
756	9034	2900
757	9045	2887
758	9057	2875
759	9069	2864
760	9081	2852
761	9094	2840
762	9106	2828
763	9120	2817
764	9132	2805
765	9143	2793
766	9155	2781
767	9167	2769
768	9178	2757
769	9190	2745
770	9202	2733
771	9214	2721
772	9226	2709
773	9238	2697
774	9250	2685
775	9263	2673
776	9274	2661
777	9287	2650
778	9299	2638
779	9310	2626
780	9322	2614
781	9334	2602
782	9345	2590
783	9356	2577
784	9369	2566
785	9381	2554
786	9392	2541
787	9403	2529
788	9415	2517
789	9426	2505
790	9438	2493
791	9450	2481
792	9460	2469
793	9472	2457
794	9483	2445
795	9495	2433
796	9506	2421
797	9518	2409
798	9533	2398
799	9545	2386
800	9557	2374
801	9569	2362
802	9580	2350
803	9591	2338
804	9602	2326
805	9613	2313
806	9624	2301
807	9636	2289
808	9648	2277
809	9659	2265
810	9671	2253
811	9682	2241
812	9693	2229
813	9706	2218
814	9717	2205
815	9729	2193
816	9740	2181
817	9752	2169
818	9764	2157
819	9775	2145
820	9786	2133
821	9798	2121
822	9809	2109
823	9820	2097
824	9831	2085
825	9843	2073
826	9855	2061
827	9866	2049
828	9878	2037
829	9889	2025
830	9900	2013
831	9912	2001
832	9924	1989
833	9936	1977
834	9947	1965
835	9959	1953
836	9970	1941
837	9982	1929
838	9994	1917
839	10006	1905
840	10017	1894
841	10029	1882
842	10042	1870
843	10053	1858
844	10065	1846
845	10076	1834
846	10090	1822
847	10103	1810
848	10114	1798
849	10127	1787
850	10138	1775
851	10149	1763
852	10162	1751
853	10173	1739
854	10184	1727
855	10196	1715
856	10208	1703
857	10220	1691
858	10231	1679
859	10243	1667
860	10255	1655
861	10271	1644
862	10285	1632
863	10297	1620
864	10308	1608
865	10321	1597
866	10332	1585
867	10344	1573
868	10356	1561
869	10367	1549
870	10380	1537
871	10392	1525
872	10404	1513
873	10415	1501
874	10427	1489
875	10438	1477
876	10449	1465
877	10461	1453
878	10475	1442
879	10488	1430
880	10499	1418
881	10512	1406
882	10524	1394
883	10535	1382
884	10547	1370
885	10559	1358
886	10571	1346
887	10582	1334
888	10594	1322
889	10605	1310
890	10617	1298
891	10628	1286
892	10640	1274
893	10652	1262
894	10663	1251
895	10675	1239
896	10687	1227
897	10700	1215
898	10712	1203
899	10724	1191
900	10736	1179
901	10747	1167
902	10759	1155
903	10771	1143
904	10785	1132
905	10797	1120
906	10809	1108
907	10821	1096
908	10832	1084
909	10844	1072
910	10856	1060
911	10867	1048
912	10878	1036
913	10890	1024
914	10902	1012
915	10914	1000
916	10927	989
917	10938	977
918	10951	965
919	10962	953
920	10974	941
921	10985	929
922	10996	917
923	11008	905
924	11019	893
925	11030	881
926	11042	869
927	11054	857
928	11066	845
929	11077	833
930	11090	821
931	11102	810
932	11113	798
933	11125	786
934	11138	774
935	11150	762
936	11161	750
937	11173	738
938	11185	726
939	11197	714
940	11208	702
941	11220	690
942	11232	678
943	11244	667
944	11255	655
945	11267	643
946	11278	631
947	11289	619
948	11300	607
949	11312	595
950	11326	583
951	11342	571
952	11356	560
953	11368	548
954	11379	536
955	11390	524
956	11402	512
957	11414	500
958	11427	488
959	11438	476
960	11450	464
961	11462	452
962	11473	440
963	11484	428
964	11496	416
965	11508	405
966	11520	393
967	11531	381
968	11543	369
969	11554	357
970	11566	345
971	11577	333
972	11588	321
973	11600	309
974	11613	297
975	11624	285
976	11636	273
977	11648	262
978	11659	250
979	11670	238
980	11681	226
981	11694	214
982	11706	202
983	11719	190
984	11730	178
985	11741	166
986	11753	154
987	11764	142
988	11775	130
989	11786	119
990	11799	107
991	11810	95
992	11822	83
993	11833	71
994	11847	59
995	11858	47
996	11869	35
997	11881	23
998	11893	11
999	11905	0
